Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/12/24,19:00,2024,Thursday,1447122,246159540,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",20TH AVE \ BUCKINGHAM WAY \ WINSTON DR,Taraval,Lakeshore,37.7301178,-122.4759369
12/12/24,23:00,2024,Thursday,1447128,240768412,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",CALIFORNIA ST \ DIVISADERO ST,Richmond,Pacific Heights,37.78806686,-122.4404373
12/12/24,23:55,2024,Thursday,1447137,240768575,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",16TH ST \ POTRERO AVE,Mission,Mission,37.7657814,-122.4075317
11/28/24,12:00,2024,Thursday,1447139,240768581,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",09TH AVE \ NORIEGA ST,Taraval,Inner Sunset,37.75471115,-122.4656601
12/12/24,18:00,2024,Thursday,1447140,240768597,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",EXCELSIOR AVE \ LISBON ST,Ingleside,Excelsior,37.72510529,-122.4312515
12/12/24,18:00,2024,Thursday,1447148,240768371,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",MARKET ST \ RESERVOIR ST,Mission,Castro/Upper Market,37.76877213,-122.4274597
12/12/24,19:00,2024,Thursday,1447150,240768735,Burglary,Burglary - Commercial,"Burglary, Store, Forcible Entry",BUCHANAN ST \ UNION ST,Northern,Marina,37.79750824,-122.4322052
12/12/24,10:00,2024,Thursday,1447154,240768810,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",16TH ST \ POTRERO AVE,Mission,Mission,37.7657814,-122.4075317
12/12/24,20:00,2024,Thursday,1447155,240768741,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",03RD ST \ DAVIDSON AVE,Bayview,Bayview Hunters Point,37.74352646,-122.3876266
12/12/24,18:00,2024,Thursday,1447173,240768989,Larceny Theft,Larceny Theft - Bicycle,"Theft, Bicycle, >$950",DON CHEE WAY \ THE EMBARCADERO,Central,Financial District/South Beach,37.79423141,-122.3932648
12/12/24,17:00,2024,Thursday,1447180,240768672,Burglary,Burglary - Residential,"Burglary, Residence Under Constr, Forcible Entry",23RD AVE \ JUDAH ST,Taraval,Sunset/Parkside,37.76151276,-122.4812775
12/12/24,18:00,2024,Thursday,1447182,240768973,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",STEINER ST \ SUTTER ST,Northern,Pacific Heights,37.78587723,-122.4349213
12/5/24,18:00,2024,Thursday,1447192,240769169,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",JENNINGS ST \ YOSEMITE AVE,Bayview,Bayview Hunters Point,37.72579193,-122.389801
12/5/24,18:05,2024,Thursday,1447205,246159255,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",46TH AVE \ ULLOA ST,Taraval,Sunset/Parkside,37.73990631,-122.5044861
